property_id,TagLine, ListPrice ,Bedrooms,Bathrooms,LivingArea,LotSizeSquareFeet,YearBuilt,PropertyType,OnMarketDate,StreetName,City,Lat,Lon,Company
23094,"BO. PUEBLO, LOCAL COMERCIAL EN LARES"," $300,000.00 ",0,4.0,5000,300,2001,Commercial,10/23/2021,CALLE SAN JOSE #15 BO. PUEBLO,Lares,18.29622995,-66.8770297,Company1
23157,"Bo. Canovanillas, Terreno en Carolina"," $700,000.00 ",0,0.0,0,3512,0,Land,11/4/2021,KM HM 11 Carr #3 Bo. Canovanillas,Carolina,18.375464,-65.945913,Company1
23159,"Bo. Cañaboncito, Terreno en Caguas"," $60,000.00 ",0,0.0,0,1119,0,Land,11/11/2021,Cañaboncito Ward Lote 5,Caguas,18.20295141,-66.11043003,Company1
23163,"BO. PALMAREJO, CASA EN LAJAS"," $140,000.00 ",3,2.0,1200,523,1996,Homes,9/24/2021,BO PALMAREJO COM. LOS OLIVARES CALLE LAS ROSAS #30,Lajas,18.00477307,-67.07156791,Company1
23224,"Bo. Campo Alegre, Casa en Utuado"," $219,900.00 ",4,2.0,1100,8332,1985,Homes,11/9/2021,Carr 111 K0 H4 KM .4 Int Campo Alegre,Utuado,18.269653,-66.703399,Company1
23333,"Bo. Calabazas, Casa en San Sebastian"," $63,000.00 ",8,3.0,2250,3932,1985,Homes,11/30/2021,Carr 433 Km 1.9 Lot 1 Bo. Calabazas,San Sebastian,18.2857,-66.9624,Company1
23394,"Bo. Pueblo, Casa en Gurabo"," $49,000.00 ",2,1.0,1083,215,1975,Homes,11/30/2021,# 104 Calle Juan Ramon Quiñones,Gurabo,18.253417,-65.971935,Company1
23456,"Bo. Lomas, Terrenos en Juana Diaz"," $155,000.00 ",0,0.0,0,23716,0,Land,12/26/2021,Finca Carr 570 y Carr 149 Solares 4 y 5 Bo. Lomas,Juana Diaz,18.0643115,-66.5023088,Company1
23475,"Bo. Los Ausubos, Terreno en Ponce"," $90,000.00 ",0,0.0,0,2170,0,Land,12/23/2021,Carr 139 Km 3.4 Bo Los Ausubos,Ponce,18.040901,-66.603373,Company1
23506,"Sector Rio Piedras, Terreno en San Juan"," $1,382,000.00 ",0,0.0,0,3635,0,Land,1/4/2022,Lote 485 Ave. De Diego,San Juan - Rio Piedras,18.39819296,-66.0331097,Company1
